Date of birth;Place of birth;Age;Height;Citizenship;Position;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club
Aug 4, 1993;Castelnuovo di Garfagnana;29;183;Italy;Defender - Right-Back;right;Jul 1, 2019;Jun 30, 2026;Puma;M.A.R.A.T. Football Management;SSC Napoli;€25.00m;Dec 28, 2021;Giovanni Di Lorenzo;DI LORENZO G.;169880;14122;22;€25.00m;Jul 15, 2021;;;;;
Apr 17, 1996;Pontedera;27;190;Italy;Defender - Centre-Back;right;Sep 1, 2020;Jun 30, 2027;Nike;Gr Sports;AS Roma;€30.00m;Mar 23, 2021;Gianluca Mancini;MANCINI G.;256448;11626;23;€18.00m;Jul 12, 2022;;;;;
Mar 25, 1981;Bassano del Grappa;42;183;Italy;Goalkeeper;left;Sep 2, 2013;Jun 30, 2023;;P&P Sport Management S.A.M.;US Sassuolo;€2.00m;Jun 19, 2013;Gianluca Pegolo;PEGOLO G.;21872;99999999;25;€100k;Jun 15, 2022;;;;;
Jan 1, 1999;Roma;24;195;Italy;Attack - Centre-Forward;right;Jul 26, 2022;Jun 30, 2027;Nike;CAA Stellar;West Ham United;€30.00m;Mar 15, 2022;Gianluca Scamacca;SCAMACCA G.;315867;14479;7;€27.00m;;Option for a further year;;;;
Nov 16, 2001;Napoli;21;176;Italy;Attack - Left Winger;right;Jan 11, 2023;Jun 30, 2023;;FF;Fortuna Sittard;€1.00m;Jun 24, 2021;Gianmarco Cangiano;CANGIANO G.;496270;99999999;74;€800k;;Option to buy;Bologna FC 1909;Jun 30, 2025;;
Jul 10, 2003;Modena;19;184;Italy;Goalkeeper;right;Sep 1, 2020;-;;Vigo Global Sport Services Srl;Sassuolo Primavera;€125k;Jun 23, 2022;Gioele Zacchi;ZACCHI G.;659648;99999999;16;€125k;Oct 1, 2022;;;;;
Aug 9, 1998;Bergamo;24;190;Italy;Defender - Centre-Back;right;Jul 18, 2021;Jun 30, 2026;;;Cagliari Calcio;€2.00m;Jun 7, 2022;Giorgio Altare;ALTARE G.;354909;63460;15;€1.70m;Mar 23, 2022;;;;;
Aug 14, 1984;Pisa;38;187;Italy;Defender - Centre-Back;left;Jul 7, 2022;Dec 31, 2023;Puma;Reset Group Srl;Los Angeles FC;€28.50m;Jul 3, 2012;Giorgio Chiellini;CHIELLINI G.;29260;3943;14;€1.00m;;;;;;
Apr 18, 2002;Gardone Val Trompia;21;193;Italy;Defender - Centre-Back;right;Jul 7, 2022;Jun 30, 2023;;FOOTBALL STARS AGENCY;Modena FC;€3.00m;Mar 20, 2023;Giorgio Cittadini;CITTADINI G.;616628;99999999;5;€3.00m;;;Atalanta BC;Jun 30, 2024;;
Dec 11, 2003;Chiari;19;194;Italy;Defender - Centre-Back;right;Jul 9, 2021;Jun 30, 2027;;TMP SOCCER srl;Atalanta BC;€30.00m;Mar 21, 2023;Giorgio Scalvini;SCALVINI G.;571604;99999999;42;€30.00m;;;;;;
Jan 17, 2003;Milano;20;187;Italy;Defender - Centre-Back;left;Jul 14, 2022;Jun 30, 2023;;SEG;US Città di Pontedera;€100k;Jun 23, 2022;Giovanni Bonfanti;BONFANTI G.;663900;99999999;15;€100k;;;Sampdoria Primavera;-;;
Aug 11, 1997;Palermo;25;174;Italy;midfield - Central Midfield;right;Jan 10, 2023;Jun 30, 2023;adidas;World Soccer Agency;AS Cittadella;€1.40m;Dec 30, 2019;Giovanni Crociata;CROCIATA G.;291400;99999999;21;€450k;;;FC Empoli;-;;
Jul 5, 1995;Buenos Aires;27;180;Argentina / Spain;Attack - Centre-Forward;right;Aug 18, 2022;Jun 30, 2023;;;SSC Napoli;€25.00m;Jun 7, 2018;Giovanni Simeone;SIMEONE G.;282388;11289;18;€17.00m;;Obligation to buy with conditions;Hellas Verona;Jun 30, 2026;;
Jul 5, 1995;Buenos Aires;27;180;Argentina / Spain;Attack - Centre-Forward;right;Aug 18, 2022;Jun 30, 2023;;;SSC Napoli;€25.00m;Jun 7, 2018;Giovanni Simeone;SIMEONE G.;282388;11289;18;€17.00m;;Obligation to buy with conditions;Hellas Verona;Jun 30, 2026;;
Jul 30, 1995;Mexico City;27;175;Mexico;Attack - Right Winger;right;Aug 23, 2019;Jun 30, 2024;Nike;Unique Sports Group;SSC Napoli;€45.00m;Mar 23, 2021;Hirving Lozano;LOZANO H.;316889;11907;11;€28.00m;;;;;;
Mar 12, 1998;Genova;25;184;Italy;midfield - Central Midfield;right;Aug 16, 2022;Jun 30, 2026;;World Soccer Agency;US Salernitana 1919;€8.50m;Jun 7, 2022;Giulio Maggiore;MAGGIORE G.;353796;19885;25;€7.50m;;;;;;
Sep 10, 2003;Procida;19;187;Italy;Attack - Centre-Forward;right;Jan 18, 2023;Jun 30, 2023;;GG11;AS Cittadella;€700k;Dec 22, 2022;Giuseppe Ambrosino;AMBROSINO G.;707295;99999999;70;€700k;;;SSC Napoli;Jun 30, 2026;;
Nov 29, 1997;Napoli;25;187;Italy;Defender - Left-Back;left;Aug 26, 2022;Jun 30, 2023;;M.A.R.A.T. Football Management;US Lecce;€6.00m;Dec 29, 2020;Giuseppe Pezzella;PEZZELLA G.;336960;3972;97;€3.00m;;Option to buy;Parma Calcio 1913;Jun 30, 2024;;
Mar 27, 1993;Bella Vista;30;182;Argentina / Italy;midfield - Central Midfield;right;Jan 25, 2023;Jun 30, 2023;;YOU FIRST;Cádiz CF;€5.00m;Jun 5, 2017;Gonzalo Escalante;ESCALANTE G.;266795;99999999;17;€2.00m;;Obligation to buy with conditions;SS Lazio;Jun 30, 2024;;
Mar 23, 1998;Murcia;25;181;Spain;midfield - Central Midfield;right;Jan 13, 2023;Jun 30, 2023;;Footfeel ISM;Getafe CF;€15.00m;Mar 23, 2021;Gonzalo Villar;VILLAR G.;398163;99999999;24;€4.50m;;Obligation to buy with conditions;AS Roma;Jun 30, 2024;;
Jun 17, 1991;Meudon;31;179;France / Martinique;Attack - Centre-Forward;left;Sep 1, 2020;Jun 30, 2024;Nike;GP Soccer and Management Srl;US Sassuolo;€12.00m;Oct 12, 2018;Gr goire Defrel;DEFREL G.;163222;4061;92;€2.00m;;;;;;
Jan 30, 1998;Sotira;25;179;Cyprus;midfield - Central Midfield;left;Aug 2, 2022;Jun 30, 2026;;M.A.R.A.T. Football Management;US Salernitana 1919;€1.50m;Jun 7, 2022;Grigoris Kastanos;KASTANOS G.;298635;17517;20;€1.30m;;;;;;
Oct 7, 1996;Udine;26;194;Italy;Goalkeeper;right;Jul 1, 2022;-;;GG11;FC Empoli;€16.00m;Mar 21, 2023;Guglielmo Vicario;VICARIO G.;286047;99999999;13;€16.00m;;;;;;
Feb 25, 1996;Roma;27;187;Italy;Goalkeeper;right;Aug 24, 2022;Jun 30, 2023;;no agent;AS Sambenedettese;€400k;Dec 19, 2016;Guido Guerrieri;GUERRIERI G.;256996;99999999;12;€50k;;;;;;
Mar 17, 2002;Desio;21;179;Italy / France;midfield - Right Midfield;right;Jan 31, 2023;Jun 30, 2023;adidas;no agent;US Alessandria Calcio 1912;€350k;Jun 23, 2022;Guillaume Renault;RENAULT G.;487846;99999999;7;€275k;;;Atalanta BC;-;;
Feb 8, 1994;Mannheim;29;178;Turkey / Germany;midfield - Central Midfield;right;Jul 1, 2021;Jun 30, 2024;Nike;Unique Sports Group;Inter Milan;€35.00m;Dec 29, 2020;Hakan Calhanoglu;CALHANOGLU H.;126414;4175;20;€35.00m;;;;;;
Feb 16, 2000;Abidjan;23;177;Cote d'Ivoire;midfield - Attacking Midfield;right;Jan 31, 2023;Jun 30, 2023;;GG11;AFC Bournemouth;€22.00m;Mar 15, 2022;Hamed Junior Traor;TRAORE H. J.;391065;14123;22;€22.00m;;Obligation to buy with conditions;US Sassuolo;Jun 30, 2024;;
Jan 9, 1994;Beerta;29;185;Netherlands;Defender - Right-Back;right;Jan 31, 2017;Jun 30, 2024;Nike;Key United;Atalanta BC;€18.00m;Aug 25, 2020;Hans Hateboer;HATEBOER H.;275303;4197;33;€6.00m;;;;;;
Jun 18, 2000;Aosta;22;184;Italy;midfield - Central Midfield;right;Jan 5, 2023;Jun 30, 2023;;TMP SOCCER srl;US Salernitana 1919;€2.00m;Mar 21, 2023;Hans Nicolussi Caviglia;CAVIGLIA H.;430280;99999999;41;€2.00m;;Buy-option with buy-back option;Juventus Next Gen;Jun 30, 2026;;
Jan 21, 1989;Yerevan;34;177;Armenia;midfield - Attacking Midfield;both;Jul 1, 2022;Jun 30, 2024;adidas;Rafaela Pimenta;Inter Milan;€37.00m;Aug 1, 2016;Henrikh Mkhitaryan;MKHITARYAN H.;55735;4287;22;€6.00m;;;;;;
Mar 27, 1994;São Gonçalo do Sapucaí;29;188;Brazil;midfield - Central Midfield;both;Sep 1, 2022;Jun 30, 2023;;GG11;Reggina 1914;€6.50m;Dec 29, 2020;Hernani;HERNANI H.;181768;99999999;20;€2.00m;;Obligation to buy with conditions;Parma Calcio 1913;Jun 30, 2024;;
Feb 2, 2004;;19;189;Iceland;Attack - Centre-Forward;right;Jan 17, 2023;Dec 31, 2023;;CAA Stellar;Tromsø IL;€400k;Jan 13, 2023;Hilmir Rafn Mikaelsson;MIKAELSSON H.;806524;99999999;9;€400k;;;Venezia Primavera;Jun 30, 2027;;
Feb 3, 2002;Sławno;21;188;Poland;Goalkeeper;right;Jul 1, 2022;Jun 30, 2024;;Group Athletic Management;SSC Napoli;€150k;Jun 29, 2021;Hubert Idasiak;IDASIAK H.;555557;99999999;16;€150k;;;;;;
Jun 10, 1991;Belo Horizonte;31;185;Brazil;Defender - Centre-Back;left;Aug 18, 2021;Jun 30, 2025;Nike;Roberto Calenda;SSC Napoli;€14.00m;Nov 8, 2014;Juan Jesus;JUAN JESUS;121985;11756;5;€4.00m;Apr 1, 2023;club option 2 years;;;;
Dec 21, 1995;Cañada Rosquín;27;180;Argentina / Italy;Attack - Right Winger;right;Sep 1, 2022;Jun 30, 2023;;MVP Group;UC Sampdoria;€10.00m;Jun 6, 2019;Ignacio Pussetto;PUSSETTO I.;283528;14091;18;€2.50m;;;Watford FC;Jun 30, 2024;;
Feb 7, 1998;Bom Sucesso;25;185;Brazil;Defender - Centre-Back;left;Jul 1, 2021;Jun 30, 2024;adidas;Attacantti Sports Marketing;ACF Fiorentina;€14.00m;Jun 7, 2022;Igor;IGOR;380350;23754;98;€11.00m;;club option 1 year;;;;
Mar 12, 1990;Prilep;33;182;North Macedonia;Attack - Centre-Forward;left;Jul 26, 2019;Jun 30, 2023;;Universal Twenty Two;Udinese Calcio;€5.00m;Dec 21, 2017;Ilija Nestorovski;NESTOROVSKI I.;54581;99999999;30;€600k;Jul 4, 2022;Option for a further year;;;;
May 28, 1997;Bukarest;25;188;Romania;Goalkeeper;right;Jan 25, 2023;Jun 30, 2023;;Oscar Damiani;AJ Auxerre;€15.00m;Jun 6, 2019;Ionut Radu;RADU I.;303657;99999999;1;€3.50m;;;Inter Milan;Jun 30, 2024;;
Mar 31, 2003;El Socorro;20;176;Argentina / Italy;midfield - Attacking Midfield;left;Jul 1, 2022;Jun 30, 2025;;Quadratum;Cagliari Calcio;€200k;Jun 23, 2022;Isa as Delpupo;DELPUPO I.;736034;99999999;80;€200k;;;;;Cagliari Primavera (#80);
Jan 7, 1996;Benin City;27;182;Nigeria;Attack - Centre-Forward;right;Aug 26, 2021;Jun 30, 2025;Nike;11MANGMT;Udinese Calcio;€5.00m;Dec 19, 2018;Isaac Success;SUCCESS I.;295331;10160;7;€4.00m;Mar 20, 2023;Option for a further year;;;;
Dec 1, 1997;Arles;25;175;Algeria / France;midfield - Defensive Midfield;left;Aug 4, 2019;Jun 30, 2027;;Team Raiola;AC Milan;€40.00m;Dec 29, 2020;Isma l Bennacer;BENNACER I.;351816;14125;4;€40.00m;Jan 12, 2023;;;;;
Jul 6, 2002;Chisinau;20;196;Moldova / Romania;Defender - Centre-Back;right;Jan 31, 2023;Jun 30, 2025;;PURE;NK Istra 1961;€100k;Jun 23, 2022;Iurie Iovu;IOVU I.;619353;99999999;20;€50k;;;;;;
Mar 17, 2001;Niš;22;185;Serbia;midfield - Central Midfield;left;Jan 30, 2023;Jun 30, 2023;;RnB Sport;Torino FC;€15.00m;Mar 21, 2023;Ivan Ili;ILIC I.;470794;12355;8;€15.00m;;Obligation to buy with conditions;Hellas Verona;Jun 30, 2026;;
Feb 2, 1989;Split;34;186;Croatia;midfield - Left Midfield;both;Jul 1, 2022;Jun 30, 2024;;;Tottenham Hotspur;€45.00m;Dec 29, 2017;Ivan Perisic;PERISIC I.;42460;4545;14;€10.00m;;;;;;
Mar 17, 1994;Pordenone;29;194;Italy;Goalkeeper;right;Aug 8, 2022;Jun 30, 2027;adidas;Keeper Football Agency;SS Lazio;€12.00m;Mar 21, 2023;Ivan Provedel;PROVEDEL I.;197929;99999999;94;€12.00m;;;;;;
Mar 16, 2002;Voghera;21;192;Italy;Goalkeeper;right;Jul 8, 2022;Jun 30, 2023;;GOAL CLUB;Arzignano Valchiampo;€100k;Jun 23, 2022;Ivan Saio;SAIO I.;613533;99999999;22;€100k;;;Sampdoria Primavera;-;;
Mar 25, 2000;Rijeka;23;187;Croatia;Goalkeeper;right;Jul 7, 2022;Jun 30, 2023;;GAMMA SPORT;Fortuna Sittard;€1.50m;Nov 11, 2022;Ivor Pandur;PANDUR I.;371013;99999999;31;€1.50m;;Option to buy;Hellas Verona;Jun 30, 2025;;
Jan 3, 1997;Marseille;26;174;Cote d'Ivoire / France;Attack - Left Winger;right;Jul 1, 2022;Jun 30, 2026;;LIAN Sports Group;Atalanta BC;€25.00m;Aug 25, 2020;J r mie Boga;BOGA J.;216569;4920;10;€15.00m;;;;;;
Jan 3, 1997;Marseille;26;174;Cote d'Ivoire / France;Attack - Left Winger;right;Jul 1, 2022;Jun 30, 2026;;LIAN Sports Group;Atalanta BC;€25.00m;Aug 25, 2020;J r mie Boga;BOGA J.;216569;4920;10;€15.00m;;;;;;
Mar 28, 2002;Akron, Ohio;21;178;United States / Netherlands;Attack - Right Winger;left;Feb 11, 2023;Jun 30, 2023;;CAA Stellar;FC KTP;€250k;Nov 13, 2020;Jack de Vries;VRIES J.;659781;99999999;28;€250k;;;Venezia FC;-;;
Oct 27, 2000;Montebelluna;22;187;Italy;midfield - Central Midfield;both;Sep 1, 2022;Jun 30, 2023;;Patrick Bastianelli;Como 1907;€1.30m;Jun 6, 2022;Jacopo Da Riva;RIVA J.;430503;99999999;5;€1.20m;;;Atalanta BC;Jun 30, 2025;;
Dec 28, 2002;Roma;20;186;Italy;Goalkeeper;;Jan 31, 2023;Jun 30, 2023;;Antonio Burdi;Fermana FC;€50k;Jun 23, 2022;Jacopo De Matteis;MATTEIS J.;606614;99999999;12;€50k;;;US Salernitana 1919;-;;
Oct 1, 2002;Cagliari;20;174;Italy;Attack - Left Winger;right;Sep 1, 2022;Jun 30, 2023;;Quadratum;Delfino Pescara 1936;€500k;Jun 23, 2022;Jacopo Desogus;DESOGUS J.;610878;99999999;21;€500k;;;Cagliari Calcio;Jun 30, 2026;;
Feb 10, 1992;Atri;31;178;Italy;midfield - Central Midfield;right;Jan 31, 2022;Jun 30, 2024;;All Stars Managament;Calcio Padova;€2.80m;Jun 9, 2017;Jacopo Dezi;DEZI J.;165531;99999999;11;€375k;;;;;;
Mar 16, 2003;Massa;20;178;Italy;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2027;;;FC Empoli;€1.00m;Mar 21, 2023;Jacopo Fazzini;FAZZINI J.;691482;99999999;21;€1.00m;Nov 14, 2022;;;;;
Feb 22, 1993;San Daniele del Friuli;30;189;Italy;Goalkeeper;right;Aug 11, 2022;Jun 30, 2024;;Italian Managers Group s.r.l.;AC Perugia Calcio;€300k;Dec 20, 2019;Jacopo Furlan;FURLAN J.;163652;99999999;12;€250k;;;;;;
Dec 5, 1991;Alzano Lombardo;31;181;Italy;midfield - Central Midfield;right;Sep 5, 2020;Jun 30, 2024;;;Spezia Calcio;€2.50m;Jul 1, 2015;Jacopo Sala;SALA J.;96806;99999999;7;€500k;Jul 4, 2022;;;;;
Jul 24, 2003;Treviglio;19;194;Italy;Goalkeeper;;Jul 19, 2022;Jun 30, 2023;Puma;Football Service;Giugliano Calcio 1928;€300k;Dec 21, 2022;Jacopo Sassi;SASSI J.;617808;99999999;12;€300k;;;Atalanta Primavera;-;;
Feb 17, 1997;Torino;26;185;Italy;midfield - Central Midfield;right;Aug 23, 2022;Jun 30, 2025;;MM-Management;Palermo FC;€1.60m;Jun 6, 2022;Jacopo Segre;SEGRE J.;373899;99999999;8;€1.60m;;;;;;
Jan 7, 2003;;20;;Iceland;Defender - Right-Back;;Feb 25, 2023;Dec 31, 2023;;CAA Stellar;KR Reykjavík;€100k;Jun 23, 2022;Jakob P lsson;LSSON J.;654543;99999999;5;€100k;;;Venezia Primavera;-;;
Jan 19, 1996;Praha;27;184;Czech Republic;midfield - Left Midfield;left;Aug 10, 2022;Jun 30, 2023;;Gr Sports;AC Sparta Prague;€15.00m;Dec 29, 2017;Jakub Jankto;JANKTO J.;319160;99999999;15;€2.50m;;Option to buy;Getafe CF;Jun 30, 2026;;
Feb 15, 2000;Tychy;23;189;Poland;Defender - Centre-Back;left;Jan 23, 2023;Jun 30, 2028;;FairSport;Arsenal FC;€20.00m;Mar 16, 2023;Jakub Kiwior;KIWIOR J.;425918;64677;15;€20.00m;;;;;;
Aug 18, 2002;Toulouse;20;183;France / Martinique;Attack - Centre-Forward;right;Jan 29, 2023;Jun 30, 2023;;Classico;Amiens SC;€4.50m;Oct 14, 2021;Janis Antiste;ANTISTE J.;538974;99999999;21;€3.50m;;;US Sassuolo;Jun 30, 2026;;
Oct 11, 1992;Toulouse;30;180;Cote d'Ivoire / France;midfield - Central Midfield;right;Sep 1, 2022;Jun 30, 2023;;P&P Sport Management S.A.M.;FC Empoli;€3.50m;Jun 6, 2015;Jean Daniel Akpa Akpro;AKPRO J.;170481;99999999;11;€1.40m;;;SS Lazio;Jun 30, 2025;;
May 1, 1993;Douala;29;188;Cameroon / France;Attack - Centre-Forward;right;Jul 19, 2017;Jun 30, 2024;Nike;Global Compensation;BSC Young Boys;€7.00m;Jul 31, 2020;Jean Pierre Nsame;NSAME J.;225055;99999999;18;€3.50m;Jul 24, 2019;;;;;
Jun 12, 1998;Etampes;24;177;France / DR Congo;midfield - Central Midfield;left;Jan 30, 2023;Jun 30, 2027;;Sport Cover;FC Lorient;€10.00m;Mar 27, 2023;Jean Victor Makengo;MAKENGO J.;322305;11770;17;€10.00m;;;;;;
May 27, 1992;Barranquilla;30;182;Colombia / Spain;Defender - Centre-Back;right;Jan 14, 2020;Jun 30, 2023;Nike;;UC Sampdoria;€18.00m;Jan 4, 2016;Jeison Murillo;MURILLO J.;131102;99999999;21;€2.00m;;;;;;
Feb 21, 1991;Sakskøbing;32;180;Denmark;Defender - Right-Back;both;Jul 1, 2022;Jun 30, 2025;;HCM Sports Management;Trabzonspor;€4.00m;Dec 20, 2018;Jens Stryger Larsen;LARSEN J.;69646;99999999;19;€1.80m;;;;;;
Jan 12, 1997;Spijkenisse;26;185;Netherlands;midfield - Defensive Midfield;right;Jul 5, 2019;Jun 30, 2026;;Key United;Bologna FC 1909;€9.00m;Jun 3, 2021;Jerdy Schouten;SCHOUTEN J.;347900;19024;30;€8.50m;Aug 23, 2022;;;;;
Aug 8, 1994;Stuttgart;28;182;Germany / United States;Defender - Right-Back;right;Jul 1, 2021;Jun 30, 2025;;EMG Mundial;US Sassuolo;€6.00m;Oct 18, 2017;Jeremy Toljan;TOLJAN J.;129674;4943;22;€4.50m;;;;;;
Jan 6, 1991;Veendam;32;189;Netherlands;Goalkeeper;right;Sep 8, 2020;Jun 30, 2024;;Key United;Spezia Calcio;€12.50m;Dec 28, 2018;Jeroen Zoet;ZOET J.;79045;99999999;1;€500k;May 20, 2022;;;;;
Mar 9, 1992;Ipatinga;31;184;Italy / Brazil;Attack - Centre-Forward;right;Jul 21, 2022;Jun 30, 2025;;Piccioli&Lombardi;Fenerbahce;€18.00m;Dec 29, 2020;Jo o Pedro;JOAO PEDRO;129129;5078;20;€6.50m;;;;;;
May 20, 1997;Østervrå;25;185;Denmark;Defender - Left-Back;right;Jan 4, 2021;Jun 30, 2025;;Boutique Transfers;Atalanta BC;€19.00m;Jul 15, 2021;Joakim Maehle;MAEHLE J.;369674;14570;3;€14.00m;;;;;;
Aug 13, 1994;Juan Bautista Alberdi;28;188;Argentina / Italy;Attack - Second Striker;right;Jul 1, 2022;Jun 30, 2025;adidas;World Soccer Agency;Inter Milan;€38.00m;Dec 12, 2019;Joaqu n Correa;CORREA J.;227081;5096;11;€14.00m;;;;;;
May 22, 1991;Lagos;31;178;Nigeria / Italy;midfield - Central Midfield;left;Jul 20, 2022;Jun 30, 2024;Nike;Gea World;Reggina 1914;€6.00m;Jun 8, 2012;Joel Obi;OBI J.;45581;5118;10;€400k;;;;;;
Jan 15, 2003;Dalkopinge;20;194;Sweden;Attack - Centre-Forward;right;Jul 13, 2022;Jun 30, 2027;;Wesport Football;US Lecce;€600k;Jun 23, 2022;Joel Voelkerling Persson;PERSSON J.;647534;99999999;31;€600k;;;;;;
Oct 22, 1998;Navojoa;24;184;Mexico;Defender - Centre-Back;left;Jul 1, 2022;Jun 30, 2023;Nike;VS Sinergia;US Cremonese;€6.00m;Apr 21, 2021;Johan V squez;VASQUEZ J.;532937;36150;5;€3.60m;;Option to buy;Genoa CFC;Jun 30, 2026;;
May 2, 1998;Bondy;24;175;France / DR Congo;Attack - Right Winger;left;Jan 3, 2022;Jun 30, 2026;;Niagara Sports Company;ACF Fiorentina;€40.00m;Mar 13, 2020;Jonathan Ikon;IKON J.;324690;99999999;11;€16.00m;;;;;;
Jan 26, 2002;Biancavilla;21;192;Italy;Defender - Centre-Back;right;Jan 31, 2022;Jun 30, 2023;;BSP FOOTBALL AGENCY;Fermana FC;€75k;Dec 20, 2022;Jonathan Spedalieri;SPEDALIERI J.;616142;99999999;5;€75k;;;;;;
Jul 9, 1991;Cangas de Narcea;31;179;Spain;Attack - Left Winger;left;Jul 28, 2022;Jun 30, 2023;;YOU FIRST;Sporting Gijón;€10.00m;Dec 21, 2018;Jony;JONY J.;228761;99999999;9;€600k;;;SS Lazio;Jun 30, 2024;;
Mar 1, 1993;Ancenis;30;177;France;midfield - Defensive Midfield;right;Aug 5, 2022;Jun 30, 2025;adidas;Kelyxane Sport Agency;Olympique Marseille;€35.00m;Mar 23, 2021;Jordan Veretout;VERETOUT J.;164771;5324;27;€14.00m;;club option 1 year;;;;
Feb 11, 1987;Motril;36;178;Spain;Attack - Right Winger;right;Jul 25, 2022;Jun 30, 2023;adidas;Manuel García Quilón;Granada CF;€25.00m;Nov 8, 2014;Jos  Callej n;CALLEJON J. M.;61253;5422;9;€1.20m;;;;;;
Jan 5, 1990;San Miguel de Tucumán;33;188;Argentina;Defender - Centre-Back;left;Jul 1, 2017;Jun 30, 2024;Nike;;Atalanta BC;€10.00m;Jun 6, 2019;Jos  Luis Palomino;PALOMINO J. L.;125020;5414;6;€3.50m;;;;;;
Jun 23, 1998;Zagreb;24;175;Croatia;Attack - Left Winger;right;Jan 28, 2023;Jun 30, 2026;;Niagara Sports Company;ACF Fiorentina;€15.00m;Oct 2, 2019;Josip Brekalo;BREKALO J.;293169;19097;77;€6.50m;;;;;;
Jan 29, 1988;Prijedor;35;190;Slovenia / Croatia;midfield - Attacking Midfield;left;Oct 5, 2022;Jun 30, 2025;Nike;AR Sport Management;NK Maribor;€22.00m;Mar 3, 2020;Josip Ilicic;ILICIC J.;80351;99999999;72;€400k;;;;;;
Jun 14, 1998;Assomada;24;174;Cape Verde / Portugal;Attack - Left Winger;right;Jul 1, 2018;Jun 30, 2025;Nike;Invictus Team;Sporting CP;€10.00m;Aug 17, 2020;Jovane;JOVANE J.;448466;99999999;77;€3.50m;;;;;;
May 26, 1988;Necoclí;34;176;Colombia;midfield - Right Midfield;right;Jul 1, 2017;Jun 30, 2023;adidas;World Soccer Agency;Juventus FC;€32.00m;Jul 11, 2014;Juan Cuadrado;CUADRADO JU.;91970;5511;11;€5.00m;Apr 15, 2022;;;;;
Nov 28, 1999;Åndalsnes;23;182;Norway;Defender - Centre-Back;right;Jul 18, 2022;-;Nike;Solbakken / Player Solution;SSC Napoli;€7.00m;Nov 11, 2022;Leo  stigard;OSTIGARD L. S.;367284;25512;55;€7.00m;;;;;;
May 6, 1994;San Nicolás;28;191;Argentina / Italy;Goalkeeper;right;Jul 2, 2021;Jun 30, 2025;;World Soccer Agency;Atalanta BC;€20.00m;Aug 25, 2020;Juan Musso;MUSSO J.;242359;99999999;1;€14.00m;;;;;;
Feb 12, 1998;Hanau;25;195;Germany / France;Defender - Centre-Back;left;Jan 26, 2022;Jun 30, 2023;;PRO Profil GmbH;1. FC Köln;€3.50m;Jun 12, 2019;Julian Chabot;CHABOT J.;303219;99999999;24;€3.50m;;Obligation to buy with conditions;UC Sampdoria;Jun 30, 2024;;
May 10, 1997;Horten;25;198;Norway;Attack - Centre-Forward;right;Jan 19, 2023;Jun 30, 2023;adidas;Keypass AS;Virtusvecomp Verona;€450k;Jun 23, 2020;Julian Kristoffersen;KRISTOFFERSEN J.;267614;99999999;19;€200k;;;US Salernitana 1919;Jun 30, 2024;;
May 13, 1991;Belo Horizonte;31;174;Brazil;Attack - Right Winger;left;Jul 7, 2022;Jun 30, 2024;;GG11;AC Milan;€6.50m;Dec 28, 2021;Junior Messias;MESSIAS J.;449151;27565;30;€6.00m;;;;;;
Jul 31, 1991;Chatenay-Malabry;31;178;France / Morocco;Defender - Right-Back;right;Sep 8, 2022;Jun 30, 2023;;KTM;MKE Ankaragücü;€16.00m;Jun 6, 2019;K vin Malcuit;MALCUIT K.;126711;99999999;24;€750k;;;;;;
Nov 10, 1994;Gelsenkirchen;28;185;Turkey / Germany;Defender - Centre-Back;right;Jan 30, 2023;Jun 30, 2023;;EMG Mundial;Galatasaray;€9.00m;Jun 5, 2019;Kaan Ayhan;AYHAN K.;119031;5655;23;€4.00m;;Obligation to buy with conditions;US Sassuolo;Jun 30, 2024;;
Sep 7, 2004;Gdańsk;18;178;Poland;midfield - Defensive Midfield;right;Jul 1, 2022;Jun 30, 2023;;BMG-SPORT;Bologna FC 1909;€250k;Sep 27, 2022;Kacper Urbanski;URBANSKI K.;699442;99999999;82;€250k;;;;;Bologna Primavera (#82);
Jan 24, 2002;Olinda;21;182;Brazil;Attack - Centre-Forward;right;Aug 17, 2021;Jun 30, 2026;Puma;Bertolucci Sports;Juventus FC;€12.00m;Oct 8, 2020;Kaio Jorge;JORGE K.;620477;99999999;21;€3.00m;;;;;;
Jun 20, 1991;Saint-Dié-des-Vosges;31;186;Senegal / France;Defender - Centre-Back;right;Jul 16, 2022;Jun 30, 2026;Puma;LIAN Sports Group;Chelsea FC;€75.00m;Jun 6, 2019;Kalidou Koulibaly;KOULIBALY K.;93128;5670;26;€25.00m;;club option 1 year;;;;
Feb 2, 1995;Żnin;28;176;Poland;midfield - Central Midfield;right;Sep 1, 2020;Jun 30, 2024;;Fabryka Futbolu;Torino FC;€15.00m;Mar 24, 2018;Karol Linetty;LINETTY K.;225873;99999999;77;€3.50m;;;;;;
Mar 8, 1995;Arbùcies;28;178;Senegal / Spain;Attack - Centre-Forward;both;Aug 26, 2022;Jun 30, 2025;;P&P Sport Management S.A.M.;Spartak Moscow;€30.00m;Jan 24, 2018;Keita Bald;KEITA B.;238752;1171;9;€2.00m;;;;;;
